"Player","Season","Team","Position","GP","TOI_All","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Viktor Arvidsson","22-23","L.A","L/R",77,1316.9,2.2,0.3,7.1,0,0.7,1.7,9.3,0.3,2.3,11.9,2,3.9
"Ville Heinola","22-23","WPG","D",10,132.7,-0.9,0.5,-0.1,0,0.1,0.3,-1,0.5,0.4,-0.1,0,0
"Vince Dunn","22-23","SEA","D",81,1916.9,19.8,1.4,-0.6,-0.1,0.5,1.2,19.2,1.3,1.7,22.2,3.8,7.1
"Vincent Desharnais","22-23","EDM","D",36,487.6,2,1.8,0,2.1,-0.6,-0.1,2,3.9,-0.7,5.2,0.9,1.7
"Vincent Trocheck","22-23","NYR","C",82,1583.8,4,0.8,1,0.5,-0.4,0.2,5,1.4,-0.2,6.3,1.1,2
"Vinnie Hinostroza","22-23","BUF","C",26,327.6,0.6,-2.6,0,0.1,0.4,0.2,0.6,-2.5,0.6,-1.3,-0.2,-0.4
"Vitali Kravtsov","22-23","NYR","R",28,319.7,0,1.7,0.3,0,0.2,-0.7,0.4,1.7,-0.5,1.6,0.3,0.5
"Vitali Kravtsov","22-23","VAN","R",16,173.4,-2.9,-0.1,0.4,0,0.1,-0.4,-2.5,-0.1,-0.3,-2.9,-0.5,-0.9
"Vladimir Tarasenko","22-23","NYR","R",31,493.6,2.4,-2.7,0.1,0,1.1,-0.3,2.5,-2.7,0.8,0.6,0.1,0.2
"Vladimir Tarasenko","22-23","STL","R",38,664.6,2.6,-3.2,0,0,1,0.8,2.6,-3.2,1.7,1.1,0.2,0.4
"Vladislav Gavrikov","22-23","CBJ","D",52,1161.6,0.3,-0.1,-1,1.7,0,-0.2,-0.7,1.7,-0.2,0.8,0.1,0.3
"Vladislav Gavrikov","22-23","L.A","D",20,420.2,-1.4,2.5,0,-0.7,0.2,0.1,-1.4,1.7,0.3,0.6,0.1,0.2
"Vladislav Namestnikov","22-23","T.B","C",57,674.4,0.5,2.4,-1.2,0.6,0.2,0.4,-0.7,3,0.7,3,0.5,1
"Vladislav Namestnikov","22-23","WPG","C",20,297.5,2.7,0.7,-1.6,0,-0.7,0.3,1.1,0.7,-0.5,1.4,0.2,0.4
"Wade Allison","22-23","PHI","R",60,774.1,-2.1,-0.5,-0.4,0,0.4,-0.9,-2.5,-0.5,-0.4,-3.5,-0.6,-1.1
"Walker Duehr","22-23","CGY","R",27,275.3,3.1,-0.2,-0.1,0,0.3,-0.2,3,-0.2,0.1,2.9,0.5,0.9
"Warren Foegele","22-23","EDM","L",67,851,3.4,2.2,-0.5,0.7,0.1,0.9,2.9,2.8,1,6.8,1.1,2.2
"Wayne Simmonds","22-23","TOR","R",18,134.1,-0.6,-0.3,0,0,-0.9,0.3,-0.6,-0.3,-0.6,-1.6,-0.3,-0.5
"William Borgen","22-23","SEA","D",82,1340.9,3.2,2,-0.1,1.9,0.6,0.6,3.1,3.9,1.2,8.2,1.4,2.7
"William Carrier","22-23","VGK","L",56,704.9,6.1,2.9,-1,-0.1,0,0.7,5.1,2.8,0.7,8.7,1.5,2.8
"William Eklund","22-23","S.J","L",8,158.7,-1.3,-0.9,-0.7,0,-0.2,0.4,-2,-0.9,0.2,-2.8,-0.5,-0.9
"William Karlsson","22-23","VGK","C",82,1432.4,1.9,1.3,-0.2,0.2,2.6,-0.5,1.7,1.5,2.1,5.3,0.9,1.7
"William Lockwood","22-23","VAN","R",13,133.6,-2.2,1.5,0,0,0.3,-0.1,-2.2,1.4,0.2,-0.6,-0.1,-0.2
"William Nylander","22-23","TOR","R",82,1520.3,10.5,-3.5,4.7,0.7,0.8,-0.1,15.2,-2.8,0.8,13.2,2.2,4.3
"Wyatt Johnston","22-23","DAL","C",82,1269.5,6,-0.9,1.2,0.5,1.3,-1.6,7.2,-0.4,-0.4,6.5,1.1,2.1
"Wyatt Kaiser","22-23","CHI","D",9,167.3,-0.3,-0.7,0,-0.4,0,0,-0.3,-1.2,0,-1.5,-0.3,-0.5
"Yakov Trenin","22-23","NSH","C",77,1166.3,-4.5,0.1,0.4,1.8,0.1,-0.4,-4.1,1.9,-0.3,-2.5,-0.4,-0.8
"Yanni Gourde","22-23","SEA","C",81,1387.8,5.5,0.9,0.2,2.6,-0.1,1.3,5.7,3.4,1.3,10.4,1.8,3.4
"Yegor Chinakhov","22-23","CBJ","R",30,397.6,1.8,1.4,0.2,0,-0.1,-0.5,2.1,1.4,-0.6,2.9,0.5,0.9
"Yegor Sharangovich","22-23","N.J","C",75,1080.1,-0.3,-1.1,-0.1,0.4,1,0.4,-0.3,-0.7,1.4,0.4,0.1,0.1
"Zac Dalpe","22-23","FLA","C",14,117.6,0.8,-0.4,0,0,0.1,-0.3,0.8,-0.4,-0.2,0.2,0,0.1
"Zac Jones","22-23","NYR","D",16,249.5,-1.4,-1.4,-0.3,0,0.2,-0.1,-1.6,-1.4,0.1,-2.9,-0.5,-1
"Zach Aston-Reese","22-23","TOR","C",77,841.4,-2.9,1.9,0,0.8,0.3,-0.5,-2.9,2.8,-0.1,-0.3,-0.1,-0.1
"Zach Bogosian","22-23","T.B","D",46,688.7,-1.1,-2,0,-0.7,0.3,-0.6,-1.1,-2.7,-0.3,-4.1,-0.7,-1.3
"Zach Hyman","22-23","EDM","L",79,1591.8,17.4,-2.3,7.9,-1.3,0.7,1,25.3,-3.5,1.7,23.5,4,7.6
"Zach Parise","22-23","NYI","L",82,1323.7,-1.6,-0.8,-0.4,0.8,0.7,-0.9,-2,0,-0.2,-2.3,-0.4,-0.7
"Zach Sanford","22-23","NSH","L",16,215.8,-0.8,1.2,0.3,0,0.1,0.3,-0.5,1.2,0.4,1.2,0.2,0.4
"Zach Werenski","22-23","CBJ","D",13,306.8,2.9,3.4,-0.9,0.1,0.7,-0.3,2,3.6,0.4,6,1,1.9
"Zach Whitecloud","22-23","VGK","D",59,1009.5,1.3,0.2,0,-0.6,-0.1,-0.3,1.3,-0.4,-0.4,0.5,0.1,0.2
"Zack Kassian","22-23","ARI","R",51,466.8,-6.2,-3.6,0,0,-0.4,-0.8,-6.2,-3.6,-1.2,-11.1,-1.9,-3.6
"Zack MacEwen","22-23","L.A","C",10,81.9,-0.6,-0.1,0,0,-0.3,-0.2,-0.6,-0.1,-0.5,-1.3,-0.2,-0.4
"Zack MacEwen","22-23","PHI","C",46,566.3,-1.7,-1.3,-0.5,0,-0.4,0.2,-2.2,-1.4,-0.2,-3.7,-0.6,-1.2
"Zemgus Girgensons","22-23","BUF","L",80,1038.2,-6.7,5.1,0.1,-1.8,1.1,0.6,-6.6,3.3,1.6,-1.6,-0.3,-0.5
